close_loans_cnt,federal_district_nm,TraderKey,payment_type_0,payment_type_1,payment_type_2,payment_type_3,payment_type_4,payment_type_5,past_billings_cnt,score_1,age,gender,bad_flag,diff_loans,First loan year,Rep loan year,First loan month,Rep loan month
3.0,6,6,0,0,10,0,0,0,10.0,578.9646830139126,21.0,0,0,328,2015,2016,11,10
0.0,6,6,0,0,6,0,0,0,5.0,578.9646830139126,20.0,0,0,180,2015,2016,9,3
2.0,1,6,0,0,0,5,0,0,5.0,578.9646830139126,19.0,0,0,314,2015,2016,12,10
1.0,6,14,0,0,4,0,0,0,6.0,578.9646830139126,21.0,0,0,365,2015,2016,6,6
0.0,5,22,0,3,0,0,0,0,3.0,578.9646830139126,33.0,0,0,120,2015,2015,8,12
2.0,3,38,0,0,6,0,0,0,5.0,578.9646830139126,34.0,0,0,398,2015,2016,8,10
2.0,3,6,0,0,9,0,0,0,8.0,578.9646830139126,32.0,0,0,256,2015,2016,6,2
0.0,3,6,0,0,5,0,0,0,5.0,578.9646830139126,23.0,0,1,172,2015,2015,6,11
1.0,2,6,0,0,4,0,0,0,6.0,578.9646830139126,33.0,0,0,291,2015,2016,12,9
0.0,3,6,0,0,5,0,0,0,5.0,578.9646830139126,23.0,0,1,171,2015,2015,6,11
1.0,3,38,0,0,3,0,0,0,3.0,578.9646830139126,38.0,0,0,213,2015,2016,10,5
0.0,3,6,0,0,5,0,0,0,5.0,578.9646830139126,29.0,0,0,182,2015,2015,5,11
0.0,2,14,0,0,0,3,0,0,2.0,578.9646830139126,23.0,0,0,88,2015,2015,9,12
0.0,6,26,0,5,0,0,0,0,4.0,578.9646830139126,22.0,0,0,143,2015,2015,7,12
1.0,6,38,0,0,3,0,0,0,3.0,578.9646830139126,21.0,0,0,155,2015,2016,12,5
2.0,3,6,0,0,6,1,0,0,7.0,578.9646830139126,22.0,0,0,356,2015,2016,9,8
0.0,2,14,0,2,0,0,0,0,2.0,578.9646830139126,31.0,1,0,83,2015,2015,5,7
2.0,3,6,0,1,9,0,0,0,8.0,578.9646830139126,22.0,0,0,305,2015,2016,5,3
0.0,0,6,0,4,0,0,0,0,4.0,578.9646830139126,20.0,0,1,141,2015,2015,6,10
0.0,3,6,0,2,0,0,0,0,1.0,578.9646830139126,21.0,0,0,34,2015,2015,11,12
1.0,2,26,0,0,0,8,0,0,7.0,578.9646830139126,24.0,0,0,240,2015,2016,10,6
0.0,2,14,0,1,0,1,0,0,2.0,578.9646830139126,49.0,0,0,73,2015,2015,8,10
1.0,3,12,0,0,3,0,0,0,3.0,578.9646830139126,31.0,0,0,139,2015,2016,8,1
1.0,3,26,0,1,4,1,0,0,6.0,578.9646830139126,23.0,0,0,193,2015,2016,8,2
1.0,3,6,0,0,7,0,0,0,7.0,578.9646830139126,21.0,0,0,237,2015,2016,11,7
3.0,0,6,0,0,13,0,0,0,12.0,578.9646830139126,36.0,0,0,373,2015,2016,3,3
3.0,6,12,0,8,3,1,0,0,9.0,578.9646830139126,22.0,0,0,319,2015,2016,12,10
0.0,4,6,0,0,5,0,0,0,5.0,578.9646830139126,18.0,0,1,155,2015,2016,11,4
2.0,3,6,0,0,9,0,0,0,7.0,578.9646830139126,29.0,0,1,210,2015,2016,11,6
3.0,3,7,0,0,16,0,0,0,16.0,578.9646830139126,18.0,0,0,537,2015,2016,4,10
2.0,1,26,0,6,0,3,0,0,7.0,578.9646830139126,33.0,0,0,295,2015,2016,4,2
1.0,2,12,0,0,0,3,0,0,3.0,578.9646830139126,23.0,0,0,104,2016,2016,3,7
3.0,3,6,0,3,9,0,0,0,7.0,578.9646830139126,23.0,0,1,229,2015,2015,3,11
1.0,3,22,0,0,5,0,0,0,5.0,578.9646830139126,18.0,1,1,166,2015,2016,9,3
1.0,4,6,0,0,3,0,0,0,3.0,578.9646830139126,59.0,0,0,201,2016,2016,2,9
2.0,3,6,0,0,12,0,0,0,12.0,578.9646830139126,22.0,0,0,370,2015,2016,10,10
2.0,2,26,0,0,6,0,0,0,6.0,578.9646830139126,29.0,0,0,249,2015,2016,12,8
0.0,3,6,0,0,1,0,0,0,1.0,578.9646830139126,19.0,0,0,28,2015,2015,5,6
0.0,3,25,0,0,3,0,0,0,3.0,578.9646830139126,19.0,0,1,104,2015,2015,5,9
1.0,0,6,0,0,3,0,0,0,3.0,578.9646830139126,19.0,0,0,106,2015,2015,7,11
1.0,3,12,0,0,10,0,0,0,6.0,578.9646830139126,25.0,0,0,195,2015,2015,6,12
1.0,3,6,0,0,6,0,0,0,6.0,578.9646830139126,54.0,0,0,249,2016,2016,1,10
1.0,3,6,0,2,0,1,0,0,3.0,578.9646830139126,39.0,0,0,480,2015,2016,8,12
0.0,2,12,0,1,0,0,0,0,0.0,578.9646830139126,38.0,0,0,29,2015,2015,11,12
2.0,3,6,0,0,6,0,0,0,6.0,578.9646830139126,44.0,0,0,532,2015,2016,5,11
1.0,2,12,0,0,0,3,0,0,3.0,578.9646830139126,25.0,0,0,167,2016,2016,4,10
2.0,4,26,0,6,3,0,0,0,7.0,578.9646830139126,24.0,0,1,217,2015,2015,5,12
3.0,0,6,0,0,6,0,0,0,13.0,578.9646830139126,30.0,0,0,475,2015,2016,8,12
1.0,4,6,0,0,0,3,0,0,3.0,578.9646830139126,32.0,0,0,209,2016,2016,2,9
2.0,6,12,0,7,0,0,0,0,5.0,578.9646830139126,41.0,0,0,212,2015,2016,12,7
2.0,4,12,0,0,6,0,0,0,6.0,578.9646830139126,28.0,0,0,203,2016,2016,1,8
0.0,6,6,0,0,1,0,0,0,1.0,578.9646830139126,45.0,0,0,54,2016,2016,9,11
